,series,model,lab,pass@1_interfered,pass@1_renamed,pass@1_test
0,deepseek-r1,deepseek-r1-0528,lab01,0.7865853658536586,0.676829268292683,0.8658536585365854
1,deepseek-r1,deepseek-r1-0528,lab02,0.9573170731707316,0.823170731707317,0.6707317073170732
2,deepseek-r1,deepseek-r1-0528,lab03,0.9573170731707316,0.8353658536585366,0.8841463414634146
3,deepseek-v3,deepseek-chat-v3-0324,lab01,0.902439024390244,0.8841463414634146,0.9329268292682928
4,deepseek-v3,deepseek-chat-v3-0324,lab02,0.8780487804878049,0.8963414634146342,0.9146341463414634
5,deepseek-v3,deepseek-chat-v3-0324,lab03,0.902439024390244,0.902439024390244,0.9207317073170732
6,ernie-4.5,ernie-4.5-0.3b,lab01,0.3597560975609756,0.3109756097560975,0.3719512195121951
7,ernie-4.5,ernie-4.5-0.3b,lab02,0.3658536585365853,0.3048780487804878,0.3597560975609756
8,ernie-4.5,ernie-4.5-0.3b,lab03,0.3414634146341463,0.2804878048780488,0.3597560975609756
9,ernie-4.5,ernie-4.5-21b-a3b,lab01,0.9207317073170732,0.8719512195121951,0.9207317073170732
10,ernie-4.5,ernie-4.5-21b-a3b,lab02,0.945121951219512,0.8658536585365854,0.926829268292683
11,ernie-4.5,ernie-4.5-21b-a3b,lab03,0.926829268292683,0.8902439024390244,0.926829268292683
12,ernie-4.5,ernie-4.5-turbo-128k,lab01,0.8780487804878049,0.9085365853658536,0.902439024390244
13,ernie-4.5,ernie-4.5-turbo-128k,lab02,0.8780487804878049,0.902439024390244,0.902439024390244
14,ernie-4.5,ernie-4.5-turbo-128k,lab03,0.8658536585365854,0.8963414634146342,0.8841463414634146
15,gemini-2.5,gemini-2.5-flash,lab01,0.945121951219512,0.8353658536585366,0.9207317073170732
16,gemini-2.5,gemini-2.5-flash,lab02,0.9329268292682928,0.8841463414634146,0.9085365853658536
17,gemini-2.5,gemini-2.5-flash,lab03,0.9085365853658536,0.8597560975609756,0.926829268292683
18,gemini-2.5,gemini-2.5-pro,lab01,0.2865853658536585,0.1097560975609756,0.2560975609756097
19,gemini-2.5,gemini-2.5-pro,lab02,0.25,0.1402439024390244,0.2256097560975609
20,gemini-2.5,gemini-2.5-pro,lab03,0.2804878048780488,0.1280487804878048,0.2621951219512195
21,gpt-4.1,gpt-4.1,lab01,0.9390243902439024,0.945121951219512,0.9573170731707316
22,gpt-4.1,gpt-4.1,lab02,0.9573170731707316,0.926829268292683,0.945121951219512
23,gpt-4.1,gpt-4.1,lab03,0.951219512195122,0.945121951219512,0.9695121951219512
24,gpt-4.1,gpt-4.1-mini,lab01,0.9390243902439024,0.9329268292682928,0.945121951219512
25,gpt-4.1,gpt-4.1-mini,lab02,0.9634146341463414,0.902439024390244,0.951219512195122
26,gpt-4.1,gpt-4.1-mini,lab03,0.9207317073170732,0.8963414634146342,0.945121951219512
27,gpt-4.1,gpt-4.1-nano,lab01,0.8780487804878049,0.8048780487804879,0.902439024390244
28,gpt-4.1,gpt-4.1-nano,lab02,0.8353658536585366,0.7926829268292683,0.8658536585365854
29,gpt-4.1,gpt-4.1-nano,lab03,0.8597560975609756,0.7560975609756098,0.8841463414634146
30,gpt-4o,gpt-4o-2024-11-20,lab01,0.902439024390244,0.8963414634146342,0.8780487804878049
31,gpt-4o,gpt-4o-2024-11-20,lab02,0.9207317073170732,0.8963414634146342,0.902439024390244
32,gpt-4o,gpt-4o-2024-11-20,lab03,0.926829268292683,0.8963414634146342,0.9207317073170732
33,gpt-4o,gpt-4o-mini,lab01,0.8536585365853658,0.8292682926829268,0.8780487804878049
34,gpt-4o,gpt-4o-mini,lab02,0.8658536585365854,0.823170731707317,0.8780487804878049
35,gpt-4o,gpt-4o-mini,lab03,0.8597560975609756,0.8170731707317073,0.8719512195121951
36,llama-3,llama-3.1-8b-instruct,lab01,0.573170731707317,0.4634146341463415,0.6097560975609756
37,llama-3,llama-3.1-8b-instruct,lab02,0.5121951219512195,0.5304878048780488,0.5487804878048781
38,llama-3,llama-3.1-8b-instruct,lab03,0.5365853658536586,0.5182926829268293,0.5609756097560976
39,llama-3,llama-3.2-1b-instruct,lab01,0.2560975609756097,0.1707317073170731,0.2195121951219512
40,llama-3,llama-3.2-1b-instruct,lab02,0.2439024390243902,0.1097560975609756,0.25
41,llama-3,llama-3.2-1b-instruct,lab03,0.1890243902439024,0.1585365853658536,0.2012195121951219
42,llama-3,llama-3.2-3b-instruct,lab01,0.3658536585365853,0.4146341463414634,0.4268292682926829
43,llama-3,llama-3.2-3b-instruct,lab02,0.3170731707317073,0.3658536585365853,0.3963414634146341
44,llama-3,llama-3.2-3b-instruct,lab03,0.0,0.274390243902439,0.3292682926829268
45,llama-3,llama-3.3-70b-instruct,lab01,0.5609756097560976,0.6280487804878049,0.7012195121951219
46,llama-3,llama-3.3-70b-instruct,lab02,0.5182926829268293,0.6219512195121951,0.5670731707317073
47,llama-3,llama-3.3-70b-instruct,lab03,0.6341463414634146,0.6402439024390244,0.5487804878048781
48,llama-4,llama-4-maverick,lab01,0.3170731707317073,0.4512195121951219,0.7804878048780488
49,llama-4,llama-4-maverick,lab02,0.3658536585365853,0.4390243902439024,0.4146341463414634
50,llama-4,llama-4-maverick,lab03,0.3536585365853658,0.4390243902439024,0.4024390243902439
51,llama-4,llama-4-scout,lab01,0.7378048780487805,0.6585365853658537,0.7560975609756098
52,llama-4,llama-4-scout,lab02,0.7439024390243902,0.7073170731707317,0.8109756097560976
53,llama-4,llama-4-scout,lab03,0.75,0.6829268292682927,0.7621951219512195
54,qwen3,qwen3-1.7b,lab01,0.6585365853658537,0.6280487804878049,0.6646341463414634
55,qwen3,qwen3-1.7b,lab02,0.6524390243902439,0.5975609756097561,0.6097560975609756
56,qwen3,qwen3-1.7b,lab03,0.6585365853658537,0.6280487804878049,0.6646341463414634
57,qwen3,qwen3-30b-a3b,lab01,0.8841463414634146,0.8475609756097561,0.8414634146341463
58,qwen3,qwen3-30b-a3b,lab02,0.902439024390244,0.8597560975609756,0.8475609756097561
59,qwen3,qwen3-30b-a3b,lab03,0.8719512195121951,0.8658536585365854,0.8475609756097561
60,qwen3,qwen3-32b,lab01,0.8475609756097561,0.8048780487804879,0.8780487804878049
61,qwen3,qwen3-32b,lab02,0.8475609756097561,0.823170731707317,0.8719512195121951
62,qwen3,qwen3-32b,lab03,0.8475609756097561,0.7987804878048781,0.8658536585365854
63,qwen3,qwen3-8b,lab01,0.774390243902439,0.8170731707317073,0.7804878048780488
64,qwen3,qwen3-8b,lab02,0.7926829268292683,0.7804878048780488,0.774390243902439
65,qwen3,qwen3-8b,lab03,0.75,0.7865853658536586,0.7926829268292683
