model,lab,statistic_renamed,p-value_renamed,statistic_interfered,p-value_interfered
deepseek-chat-v3-0324,lab01,3.5,0.061368829139402094,1.2307692307692308,0.2672574931543847
deepseek-chat-v3-0324,lab02,0.3076923076923077,0.5790997419539188,3.125,0.07709987174354178
deepseek-chat-v3-0324,lab03,0.4444444444444444,0.5049850750938457,0.36363636363636365,0.5464935954065822
deepseek-r1-0528,lab01,16.363636363636363,5.227865783267441e-05,3.5121951219512195,0.06091869077971647
deepseek-r1-0528,lab02,11.294117647058824,0.0007775304469403846,39.924528301886795,2.639674847042402e-10
deepseek-r1-0528,lab03,1.225,0.2683816272927576,7.5625,0.005959526470109118
ernie-4.5-0.3b,lab01,2.892857142857143,0.08897301170181363,0.03571428571428571,0.8501067391385259
ernie-4.5-0.3b,lab02,2.206896551724138,0.13739482585580065,0.0,1.0
ernie-4.5-0.3b,lab03,3.891891891891892,0.04851973828025057,0.17391304347826086,0.6766573217164242
ernie-4.5-21b-a3b,lab01,4.083333333333333,0.04330814281079202,0.08333333333333333,0.7728299926844475
ernie-4.5-21b-a3b,lab02,6.75,0.00937476845943489,0.5714285714285714,0.4496917979688908
ernie-4.5-21b-a3b,lab03,2.5,0.11384629800665808,0.25,0.6170750774519739
ernie-4.5-turbo-128k,lab01,0.0,1.0,0.75,0.3864762307712325
ernie-4.5-turbo-128k,lab02,0.125,0.7236736098317629,1.125,0.2888443663464818
ernie-4.5-turbo-128k,lab03,0.1,0.7518296340458492,0.5714285714285714,0.4496917979688908
gemini-2.5-flash,lab01,7.041666666666667,0.007963489206549991,0.75,0.3864762307712325
gemini-2.5-flash,lab02,0.45,0.502334954360502,0.75,0.3864762307712325
gemini-2.5-flash,lab03,5.2631578947368425,0.02178146279111951,0.36363636363636365,0.5464935954065822
gemini-2.5-pro,lab01,12.595238095238095,0.00038673078590555955,0.35555555555555557,0.5509849875850935
gemini-2.5-pro,lab02,4.447368421052632,0.03495507264363055,0.20454545454545456,0.6510766340778343
gemini-2.5-pro,lab03,11.025,0.0008989127881140907,0.08888888888888889,0.7655944839957641
gpt-4.1,lab01,0.125,0.7236736098317629,0.8,0.37109336952269756
gpt-4.1,lab02,0.3076923076923077,0.5790997419539188,0.125,0.7236736098317629
gpt-4.1,lab03,1.125,0.2888443663464818,0.8,0.37109336952269756
gpt-4.1-mini,lab01,0.07142857142857142,0.7892680261342813,0.0,1.0
gpt-4.1-mini,lab02,4.083333333333333,0.04330814281079202,0.25,0.6170750774519739
gpt-4.1-mini,lab03,3.5,0.061368829139402094,1.125,0.2888443663464818
gpt-4.1-nano,lab01,8.653846153846153,0.0032637169016702366,0.5625,0.4532547047537363
gpt-4.1-nano,lab02,4.321428571428571,0.03763531378731433,1.2307692307692308,0.2672574931543847
gpt-4.1-nano,lab03,13.793103448275861,0.00020408400998040763,0.5,0.47950012218695337
gpt-4o-2024-11-20,lab01,0.36363636363636365,0.5464935954065822,0.9,0.34278171114790873
gpt-4o-2024-11-20,lab02,0.0,1.0,0.4444444444444444,0.5049850750938457
gpt-4o-2024-11-20,lab03,0.75,0.3864762307712325,0.0,1.0
gpt-4o-mini,lab01,3.0625,0.08011831372763438,0.6428571428571429,0.4226780741706353
gpt-4o-mini,lab02,3.764705882352941,0.05234506327316321,0.07142857142857142,0.7892680261342813
gpt-4o-mini,lab03,4.923076923076923,0.026500280602491884,0.1,0.7518296340458492
llama-3.1-8b-instruct,lab01,9.796296296296296,0.001748637004975701,0.6578947368421053,0.41730416562740436
llama-3.1-8b-instruct,lab02,0.08888888888888889,0.7655944839957641,0.625,0.42919530044034926
llama-3.1-8b-instruct,lab03,1.0909090909090908,0.29626987148428335,0.225,0.6352562959972483
llama-3.2-1b-instruct,lab01,1.6333333333333333,0.20124262095772028,0.625,0.42919530044034926
llama-3.2-1b-instruct,lab02,15.612903225806452,7.772240795323115e-05,0.0,1.0
llama-3.2-1b-instruct,lab03,1.565217391304348,0.21090292605660677,0.038461538461538464,0.8445192674729399
llama-3.2-3b-instruct,lab01,0.02631578947368421,0.8711314915971582,1.6875,0.19393085228240695
llama-3.2-3b-instruct,lab02,0.3902439024390244,0.5321712241488488,3.0638297872340425,0.08005278235757934
llama-3.2-3b-instruct,lab03,1.4222222222222223,0.23303798227390204,52.01851851851852,5.497966755051706e-13
llama-3.3-70b-instruct,lab01,2.326923076923077,0.1271529926000141,9.132075471698114,0.0025116662630226207
llama-3.3-70b-instruct,lab02,1.3061224489795917,0.2530979089471123,1.0208333333333333,0.3123214216762132
llama-3.3-70b-instruct,lab03,3.111111111111111,0.07775989643932935,3.1296296296296298,0.07688120490870513
llama-4-maverick,lab01,40.128571428571426,2.3778558341569564e-10,61.141304347826086,5.312187945700473e-15
llama-4-maverick,lab02,0.21428571428571427,0.6434288435636206,1.3611111111111112,0.24334500914875917
llama-4-maverick,lab03,0.6578947368421053,0.41730416562740436,1.3611111111111112,0.24334500914875917
