,model,set,lab,pass@1,series
0,deepseek-chat-v3-0324,interfered,lab01,0.9024390243902439,deepseek-v3
1,deepseek-chat-v3-0324,interfered,lab02,0.8780487804878049,deepseek-v3
2,deepseek-chat-v3-0324,interfered,lab03,0.9024390243902439,deepseek-v3
3,deepseek-chat-v3-0324,renamed,lab01,0.8841463414634146,deepseek-v3
4,deepseek-chat-v3-0324,renamed,lab02,0.8963414634146342,deepseek-v3
5,deepseek-chat-v3-0324,renamed,lab03,0.9024390243902439,deepseek-v3
6,deepseek-chat-v3-0324,test,lab01,0.9329268292682927,deepseek-v3
7,deepseek-chat-v3-0324,test,lab02,0.9146341463414634,deepseek-v3
8,deepseek-chat-v3-0324,test,lab03,0.9207317073170732,deepseek-v3
9,deepseek-r1-0528,interfered,lab01,0.7865853658536586,deepseek-r1
10,deepseek-r1-0528,interfered,lab02,0.9573170731707317,deepseek-r1
11,deepseek-r1-0528,interfered,lab03,0.9573170731707317,deepseek-r1
12,deepseek-r1-0528,renamed,lab01,0.676829268292683,deepseek-r1
13,deepseek-r1-0528,renamed,lab02,0.823170731707317,deepseek-r1
14,deepseek-r1-0528,renamed,lab03,0.8353658536585366,deepseek-r1
15,deepseek-r1-0528,test,lab01,0.8658536585365854,deepseek-r1
16,deepseek-r1-0528,test,lab02,0.6707317073170732,deepseek-r1
17,deepseek-r1-0528,test,lab03,0.8841463414634146,deepseek-r1
18,ernie-4.5-0.3b,interfered,lab01,0.3597560975609756,ernie-4.5
19,ernie-4.5-0.3b,interfered,lab02,0.36585365853658536,ernie-4.5
20,ernie-4.5-0.3b,interfered,lab03,0.34146341463414637,ernie-4.5
21,ernie-4.5-0.3b,renamed,lab01,0.31097560975609756,ernie-4.5
22,ernie-4.5-0.3b,renamed,lab02,0.3048780487804878,ernie-4.5
23,ernie-4.5-0.3b,renamed,lab03,0.2804878048780488,ernie-4.5
24,ernie-4.5-0.3b,test,lab01,0.3719512195121951,ernie-4.5
25,ernie-4.5-0.3b,test,lab02,0.3597560975609756,ernie-4.5
26,ernie-4.5-0.3b,test,lab03,0.3597560975609756,ernie-4.5
27,ernie-4.5-21b-a3b,interfered,lab01,0.9207317073170732,ernie-4.5
28,ernie-4.5-21b-a3b,interfered,lab02,0.9451219512195121,ernie-4.5
29,ernie-4.5-21b-a3b,interfered,lab03,0.926829268292683,ernie-4.5
30,ernie-4.5-21b-a3b,renamed,lab01,0.8719512195121951,ernie-4.5
31,ernie-4.5-21b-a3b,renamed,lab02,0.8658536585365854,ernie-4.5
32,ernie-4.5-21b-a3b,renamed,lab03,0.8902439024390244,ernie-4.5
33,ernie-4.5-21b-a3b,test,lab01,0.9207317073170732,ernie-4.5
34,ernie-4.5-21b-a3b,test,lab02,0.926829268292683,ernie-4.5
35,ernie-4.5-21b-a3b,test,lab03,0.926829268292683,ernie-4.5
36,ernie-4.5-turbo-128k,interfered,lab01,0.8780487804878049,ernie-4.5
37,ernie-4.5-turbo-128k,interfered,lab02,0.8780487804878049,ernie-4.5
38,ernie-4.5-turbo-128k,interfered,lab03,0.8658536585365854,ernie-4.5
39,ernie-4.5-turbo-128k,renamed,lab01,0.9085365853658537,ernie-4.5
40,ernie-4.5-turbo-128k,renamed,lab02,0.9024390243902439,ernie-4.5
41,ernie-4.5-turbo-128k,renamed,lab03,0.8963414634146342,ernie-4.5
42,ernie-4.5-turbo-128k,test,lab01,0.9024390243902439,ernie-4.5
43,ernie-4.5-turbo-128k,test,lab02,0.9024390243902439,ernie-4.5
44,ernie-4.5-turbo-128k,test,lab03,0.8841463414634146,ernie-4.5
45,gemini-2.5-flash,interfered,lab01,0.9451219512195121,gemini-2.5
46,gemini-2.5-flash,interfered,lab02,0.9329268292682927,gemini-2.5
47,gemini-2.5-flash,interfered,lab03,0.9085365853658537,gemini-2.5
48,gemini-2.5-flash,renamed,lab01,0.8353658536585366,gemini-2.5
49,gemini-2.5-flash,renamed,lab02,0.8841463414634146,gemini-2.5
50,gemini-2.5-flash,renamed,lab03,0.8597560975609756,gemini-2.5
51,gemini-2.5-flash,test,lab01,0.9207317073170732,gemini-2.5
52,gemini-2.5-flash,test,lab02,0.9085365853658537,gemini-2.5
53,gemini-2.5-flash,test,lab03,0.926829268292683,gemini-2.5
54,gemini-2.5-pro,interfered,lab01,0.2865853658536585,gemini-2.5
55,gemini-2.5-pro,interfered,lab02,0.25,gemini-2.5
56,gemini-2.5-pro,interfered,lab03,0.2804878048780488,gemini-2.5
57,gemini-2.5-pro,renamed,lab01,0.10975609756097561,gemini-2.5
58,gemini-2.5-pro,renamed,lab02,0.1402439024390244,gemini-2.5
59,gemini-2.5-pro,renamed,lab03,0.12804878048780488,gemini-2.5
60,gemini-2.5-pro,test,lab01,0.25609756097560976,gemini-2.5
61,gemini-2.5-pro,test,lab02,0.22560975609756098,gemini-2.5
62,gemini-2.5-pro,test,lab03,0.2621951219512195,gemini-2.5
63,gpt-4.1,interfered,lab01,0.9390243902439024,gpt-4.1
64,gpt-4.1,interfered,lab02,0.9573170731707317,gpt-4.1
65,gpt-4.1,interfered,lab03,0.9512195121951219,gpt-4.1
66,gpt-4.1,renamed,lab01,0.9451219512195121,gpt-4.1
67,gpt-4.1,renamed,lab02,0.926829268292683,gpt-4.1
68,gpt-4.1,renamed,lab03,0.9451219512195121,gpt-4.1
69,gpt-4.1,test,lab01,0.9573170731707317,gpt-4.1
70,gpt-4.1,test,lab02,0.9451219512195121,gpt-4.1
71,gpt-4.1,test,lab03,0.9695121951219512,gpt-4.1
72,gpt-4.1-mini,interfered,lab01,0.9390243902439024,gpt-4.1
73,gpt-4.1-mini,interfered,lab02,0.9634146341463414,gpt-4.1
74,gpt-4.1-mini,interfered,lab03,0.9207317073170732,gpt-4.1
75,gpt-4.1-mini,renamed,lab01,0.9329268292682927,gpt-4.1
76,gpt-4.1-mini,renamed,lab02,0.9024390243902439,gpt-4.1
77,gpt-4.1-mini,renamed,lab03,0.8963414634146342,gpt-4.1
78,gpt-4.1-mini,test,lab01,0.9451219512195121,gpt-4.1
79,gpt-4.1-mini,test,lab02,0.9512195121951219,gpt-4.1
80,gpt-4.1-mini,test,lab03,0.9451219512195121,gpt-4.1
81,gpt-4.1-nano,interfered,lab01,0.8780487804878049,gpt-4.1
82,gpt-4.1-nano,interfered,lab02,0.8353658536585366,gpt-4.1
83,gpt-4.1-nano,interfered,lab03,0.8597560975609756,gpt-4.1
84,gpt-4.1-nano,renamed,lab01,0.8048780487804879,gpt-4.1
85,gpt-4.1-nano,renamed,lab02,0.7926829268292683,gpt-4.1
86,gpt-4.1-nano,renamed,lab03,0.7560975609756098,gpt-4.1
87,gpt-4.1-nano,test,lab01,0.9024390243902439,gpt-4.1
88,gpt-4.1-nano,test,lab02,0.8658536585365854,gpt-4.1
89,gpt-4.1-nano,test,lab03,0.8841463414634146,gpt-4.1
90,gpt-4o-2024-11-20,interfered,lab01,0.9024390243902439,gpt-4o
