openai/gpt-4.1-test,openai/gpt-4.1-renamed,openai/gpt-4.1-mini-test,openai/gpt-4.1-mini-renamed,openai/gpt-4.1-nano-test,openai/gpt-4.1-nano-renamed,openai/gpt-4o-mini-test,openai/gpt-4o-mini-renamed,openai/gpt-4o-2024-11-20-test,openai/gpt-4o-2024-11-20-renamed,deepseek/deepseek-chat-v3-0324-test,deepseek/deepseek-chat-v3-0324-renamed,deepseek/deepseek-r1-0528-test,deepseek/deepseek-r1-0528-renamed,google/gemini-2.5-flash-test,google/gemini-2.5-flash-renamed,google/gemini-2.5-pro-test,google/gemini-2.5-pro-renamed,meta-llama/llama-3.3-70b-instruct-test,meta-llama/llama-3.3-70b-instruct-renamed,meta-llama/llama-3.1-8b-instruct-test,meta-llama/llama-3.1-8b-instruct-renamed,meta-llama/llama-3.2-3b-instruct-test,meta-llama/llama-3.2-3b-instruct-renamed,meta-llama/llama-3.2-1b-instruct-test,meta-llama/llama-3.2-1b-instruct-renamed,meta-llama/llama-4-maverick-test,meta-llama/llama-4-maverick-renamed,meta-llama/llama-4-scout-test,meta-llama/llama-4-scout-renamed,qwen/qwen3-30b-a3b-test,qwen/qwen3-30b-a3b-renamed,qwen/qwen3-32b-test,qwen/qwen3-32b-renamed,qwen/qwen3-8b-test,qwen/qwen3-8b-renamed,qwen/qwen3-1.7b-test,qwen/qwen3-1.7b-renamed,baidu/ernie-4.5-turbo-128k-test,baidu/ernie-4.5-turbo-128k-renamed,baidu/ernie-4.5-0.3b-test,baidu/ernie-4.5-0.3b-renamed,baidu/ernie-4.5-21b-a3b-test,baidu/ernie-4.5-21b-a3b-renamed
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: expected 'else' after 'if' expression,Pass,Pass,Pass,IndentationError: unindent does not match any outer indentation level,IndentationError: unindent does not match any outer indentation level,Pass,Pass,Pass,AssertionError,Pass,Pass,AssertionError,AssertionError,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,AssertionError,Pass,Pass,AssertionError,AssertionError,SyntaxError: unterminated string literal (detected at line 13),SyntaxError: unterminated string literal (detected at line 15)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: invalid syntax,Pass,IndentationError: unexpected indent,Pass,IndentationError: unexpected indent,Pass,Pass,AssertionError,AssertionError,AssertionError,AssertionError,SyntaxError: '[' was never closed,AssertionError,Pass,Pass,Pass,Pass,Pass,AssertionError,Pass,Pass,Pass,Pass,AssertionError,AssertionError,Pass,Pass,Pass,AssertionError,SyntaxError: unterminated string literal (detected at line 16),SyntaxError: unterminated string literal (detected at line 14)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: invalid syntax,Pass,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: 'return' outside function,Pass,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 13),SyntaxError: unterminated string literal (detected at line 13)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,IndentationError: unexpected indent,IndentationError: unexpected indent,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,AssertionError,Pass,Pass,Pass,Pass,IndentationError: unexpected indent,IndentationError: unexpected indent,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 14),SyntaxError: unterminated string literal (detected at line 16)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,IndentationError: unexpected indent,IndentationError: unexpected indent,IndentationError: unexpected indent,Pass,Pass,Pass,TypeError: bad operand type for abs(): 'generator',Pass,Pass,TypeError: unsupported operand type(s) for -: 'NoneType' and 'float',TypeError: unsupported operand type(s) for -: 'NoneType' and 'float',Pass,SyntaxError: 'return' outside function,TypeError: unsupported operand type(s) for -: 'NoneType' and 'float',Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,AssertionError,AssertionError,SyntaxError: unterminated string literal (detected at line 20),SyntaxError: unterminated string literal (detected at line 14)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,AssertionError,SyntaxError: invalid syntax,Pass,Pass,Pass,IndentationError: unindent does not match any outer indentation level,IndentationError: unindent does not match any outer indentation level,Pass,Pass,Pass,AssertionError,IndexError: list index out of range,IndexError: list index out of range,AssertionError,AssertionError,Pass,Pass,IndentationError: unexpected indent,Pass,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,AssertionError,Pass,Pass,Pass,AssertionError,AssertionError,SyntaxError: unterminated string literal (detected at line 12),SyntaxError: unterminated string literal (detected at line 14)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: invalid syntax,Pass,Pass,Pass,IndentationError: unexpected indent,Pass,Pass,Pass,Pass,AssertionError,AssertionError,AssertionError,IndexError: list index out of range,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,AssertionError,AssertionError,SyntaxError: unterminated string literal (detected at line 13),SyntaxError: unterminated string literal (detected at line 13)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 13),SyntaxError: unterminated string literal (detected at line 13)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,AssertionError,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 16),Pass,Pass,IndentationError: unexpected indent,IndentationError: unexpected indent,IndentationError: unexpected indent,Pass,Pass,Pass,Pass,AssertionError,AssertionError,AssertionError,AssertionError,Pass,IndentationError: unindent does not match any outer indentation level,Pass,Pass,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 13),SyntaxError: unterminated string literal (detected at line 13)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,IndentationError: unindent does not match any outer indentation level,IndentationError: unexpected indent,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,Pass,Pass,SyntaxError: 'return' outside function,Pass,AssertionError,AssertionError,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,IndexError: list index out of range,Pass,Pass,Pass,Pass,Pass,AssertionError,IndexError: list index out of range,SyntaxError: unterminated string literal (detected at line 11),SyntaxError: unterminated string literal (detected at line 11)
Pass,Pass,Pass,Pass,Pass,AssertionError,Pass,Pass,Pass,Pass,Pass,Pass,IndentationError: unexpected indent,Pass,AssertionError,AssertionError,IndentationError: unindent does not match any outer indentation level,IndentationError: unindent does not match any outer indentation level,AssertionError,Pass,Pass,AssertionError,SyntaxError: invalid syntax,SyntaxError: unterminated triple-quoted string literal (detected at line 48),AssertionError,AssertionError,Pass,IndentationError: unindent does not match any outer indentation level,Pass,AssertionError,Pass,Pass,Pass,AssertionError,AssertionError,AssertionError,Pass,Pass,Pass,Pass,AssertionError,AssertionError,SyntaxError: invalid syntax,SyntaxError: unterminated string literal (detected at line 21)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 15),Pass,Pass,Pass,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,Pass,Pass,Pass,SyntaxError: '(' was never closed,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,AssertionError,Pass,Pass,Pass,Pass,Pass,Pass,Pass,TypeError: unsupported operand type(s) for ^=: 'int' and 'str',SyntaxError: unterminated string literal (detected at line 13),SyntaxError: unterminated string literal (detected at line 11)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,IndentationError: unexpected indent,IndentationError: unindent does not match any outer indentation level,IndentationError: unindent does not match any outer indentation level,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,AssertionError,Pass,Pass,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 16),SyntaxError: unterminated string literal (detected at line 16)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,IndentationError: unexpected indent,Pass,Pass,IndentationError: unindent does not match any outer indentation level,IndentationError: unindent does not match any outer indentation level,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,AssertionError,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 11)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,IndentationError: unexpected indent,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,Pass,SyntaxError: 'return' outside function,Pass,AssertionError,AssertionError,Pass,AssertionError,Pass,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 11),SyntaxError: unterminated string literal (detected at line 11)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 18),Pass,Pass,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 11)
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: 'return' outside function,SyntaxError: 'return' outside function,Pass,Pass,AssertionError,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: 'return' outside function,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,SyntaxError: unterminated string literal (detected at line 11),SyntaxError: unterminated string literal (detected at line 11)
