model_name,test,renamed
openai/gpt-4.1,0.9573170731707317,0.9451219512195121
openai/gpt-4.1-mini,0.9390243902439024,0.9329268292682927
openai/gpt-4.1-nano,0.725609756097561,0.8048780487804879
openai/gpt-4o-mini,0.7926829268292683,0.7134146341463414
openai/gpt-4o-2024-11-20,0.7195121951219512,0.8963414634146342
deepseek/deepseek-chat-v3-0324,0.9329268292682927,0.8841463414634146
deepseek/deepseek-r1-0528,0.5365853658536586,0.5609756097560976
google/gemini-2.5-flash,0.7378048780487805,0.8353658536585366
google/gemini-2.5-pro,0.25609756097560976,0.10975609756097561
meta-llama/llama-3.3-70b-instruct,0.7012195121951219,0.6280487804878049
meta-llama/llama-3.1-8b-instruct,0.6097560975609756,0.39634146341463417
meta-llama/llama-3.2-3b-instruct,0.4268292682926829,0.4146341463414634
meta-llama/llama-3.2-1b-instruct,0.17682926829268292,0.17073170731707318
meta-llama/llama-4-maverick,0.6463414634146342,0.45121951219512196
meta-llama/llama-4-scout,0.7560975609756098,0.6585365853658537
qwen/qwen3-30b-a3b,0.8414634146341463,0.8475609756097561
qwen/qwen3-32b,0.8780487804878049,0.8048780487804879
qwen/qwen3-8b,0.7804878048780488,0.8170731707317073
qwen/qwen3-1.7b,0.6646341463414634,0.1951219512195122
baidu/ernie-4.5-turbo-128k,0.9024390243902439,0.9085365853658537
baidu/ernie-4.5-0.3b,0.3719512195121951,0.31097560975609756
baidu/ernie-4.5-21b-a3b,0.06097560975609756,0.03048780487804878
