model,set,lab,sample,response,result
gpt-4.1,test,lab01,0,"    n = len(numbers)
    for i in range(n):
        for j in range(i + 1, n):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
",Pass
gpt-4.1,test,lab01,1,"    result = []
    current = []
    balance = 0
    for ch in paren_string:
        if ch == ' ':
            continue
        if ch == '(':
            balance += 1
        if balance > 0:
            current.append(ch)
        if ch == ')':
            balance -= 1
            if balance == 0:
                result.append(''.join(current))
                current = []
    return result
",Pass
gpt-4.1,test,lab01,2,    return number - int(number),Pass
gpt-4.1,test,lab01,3,"    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False
",Pass
gpt-4.1,test,lab01,4,"    if not numbers:
        raise ValueError(""Input list must not be empty."")
    mean_value = sum(numbers) / len(numbers)
    abs_deviations = [abs(x - mean_value) for x in numbers]
    return sum(abs_deviations) / len(numbers)
",Pass
gpt-4.1,test,lab01,5,"    if not numbers:
        return []
    result = [numbers[0]]
    for num in numbers[1:]:
        result.append(delimeter)
        result.append(num)
    return result
",Pass
gpt-4.1,test,lab01,6,"    result = []
    groups = paren_string.strip().split()
    for group in groups:
        max_depth = 0
        current_depth = 0
        for ch in group:
            if ch == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif ch == ')':
                current_depth -= 1
        result.append(max_depth)
    return result
",Pass
gpt-4.1,test,lab01,7,    return [s for s in strings if substring in s],Pass
gpt-4.1,test,lab01,8,"    total_sum = sum(numbers)
    total_product = 1
    for num in numbers:
        total_product *= num
    return (total_sum, total_product)
",Pass
gpt-4.1,test,lab01,9,"    res = []
    if not numbers:
        return res
    max_so_far = numbers[0]
    for n in numbers:
        if n > max_so_far:
            max_so_far = n
        res.append(max_so_far)
    return res
",Pass
gpt-4.1,test,lab01,10,"    n = len(string)
    if string == """":
        return """"
    for i in range(n):
        suffix = string[i:]
        if is_palindrome(suffix):
            to_add = string[:i][::-1]
            return string + to_add
    return string  # fallback, should never happen
",Pass
gpt-4.1,test,lab01,11,"    return ''.join(str(int(x) ^ int(y)) for x, y in zip(a, b))
",Pass
gpt-4.1,test,lab01,12,"    if not strings:
        return None
    return max(strings, key=len)",Pass
gpt-4.1,test,lab01,13,"    while b:
        a, b = b, a % b
    return abs(a)",Pass
gpt-4.1,test,lab01,14,"    return [string[:i] for i in range(1, len(string) + 1)]
",Pass
gpt-4.1,test,lab01,15,"    return ' '.join(str(i) for i in range(n + 1))
",Pass
gpt-4.1,test,lab01,16,    return len(set(string.lower())),Pass
gpt-4.1,test,lab01,17,"    note_values = {
        'o': 4,
        'o|': 2,
        '.|': 1,
    }
    beats = []
    tokens = music_string.split()
    for token in tokens:
        if token in note_values:
            beats.append(note_values[token])
    return beats
",Pass
gpt-4.1,test,lab01,18,"    if not string or not substring:
        return 0
    count = 0
    idx = 0
    while True:
        idx = string.find(substring, idx)
        if idx == -1:
            break
        count += 1
        idx += 1  # allow overlapping
    return count",Pass
gpt-4.1,test,lab01,19,"    word_to_num = {
        'zero': 0, 'one': 1, 'two': 2, 'three': 3, 'four': 4,
        'five': 5, 'six': 6, 'seven': 7, 'eight': 8, 'nine': 9
    }
    num_to_word = {v: k for k, v in word_to_num.items()}
    words = numbers.split()
    nums = sorted(word_to_num[word] for word in words)
    return ' '.join(num_to_word[num] for num in nums)
",Pass
gpt-4.1,test,lab01,20,"    sorted_numbers = sorted(numbers)
    min_diff = float('inf')
    pair = (sorted_numbers[0], sorted_numbers[1])
    for i in range(len(sorted_numbers) - 1):
        diff = abs(sorted_numbers[i+1] - sorted_numbers[i])
        if diff < min_diff:
            min_diff = diff
            pair = (sorted_numbers[i], sorted_numbers[i+1])
    return pair",Pass
gpt-4.1,test,lab01,21,"    mn = min(numbers)
    mx = max(numbers)
    if mx == mn:
        return [0.0 for _ in numbers]
    return [(x - mn) / (mx - mn) for x in numbers]
",Pass
gpt-4.1,test,lab01,22,"    return [v for v in values if type(v) is int]
",Pass
gpt-4.1,test,lab01,23,"    count = 0
    for _ in string:
        count += 1
    return count",Pass
gpt-4.1,test,lab01,24,"    for i in range(n // 2, 0, -1):
        if n % i == 0:
            return i",Pass
gpt-4.1,test,lab01,25,"    factors = []
    i = 2
    while i * i <= n:
        while n % i == 0:
            factors.append(i)
            n //= i
        i += 1
    if n > 1:
        factors.append(n)
    return factors
",Pass
gpt-4.1,test,lab01,26,"    from collections import Counter
    counts = Counter(numbers)
    return [n for n in numbers if counts[n] == 1]
",Pass
gpt-4.1,test,lab01,27,    return string.swapcase(),Pass
gpt-4.1,test,lab01,28,"    return ''.join(strings)
",Pass
