model_name,test,renamed
openai/gpt-4.1,157,155
openai/gpt-4.1-mini,154,153
openai/gpt-4.1-nano,119,132
openai/gpt-4o-mini,130,117
openai/gpt-4o-2024-11-20,118,147
deepseek/deepseek-chat-v3-0324,153,145
deepseek/deepseek-r1-0528,88,92
google/gemini-2.5-flash,121,137
meta-llama/llama-3.3-70b-instruct,115,103
meta-llama/llama-3.1-8b-instruct,100,65
meta-llama/llama-3.2-3b-instruct,70,68
meta-llama/llama-3.2-1b-instruct,29,28
meta-llama/llama-4-maverick,106,74
meta-llama/llama-4-scout,124,108
qwen/qwen3-30b-a3b,138,139
qwen/qwen3-32b,144,132
qwen/qwen3-8b,128,134
baidu/ernie-4.5-turbo-128k,148,149
baidu/ernie-4.5-0.3b,61,51
